,Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
10,"举办 青年 学术 沙龙
",-1,-1_教学_教师_发展_课程,"['教学', '教师', '发展', '课程', '学院', '思政', '建设', '教育', '交大', '中心']","['相继 化学 学院 课程 思政 建设 规划 化学 学院 课程 思政 竞赛 办法 化学 学院 课程 思政 授课 规范 化学 学院 课程 思政 授课 培训 办法 文件\n', '教师 教学 发展 中心 守正 创新 回答 培养 教师 培养 教师 问题 踔厉奋发 高水平 一流 教师 教学 发展 学校 教育 教学改革 教师队伍 建设\n', '西安交大 教师 教学 发展 中心 以下 简称 中心 秉承 培育 大国 良师 提升 教学质量 初心 教师 教学 发展 规律 学校 实际 相结合 政治 引领 科学 体系 深入开展 理论 研究 努力 拓展 领域 发挥 国家级 示范 中心 示范 辐射 持续 探索 交大 特色 教师 教学 发展\n']",教学 - 教师 - 发展 - 课程 - 学院 - 思政 - 建设 - 教育 - 交大 - 中心,0.0,False
11,"在线 教职工 课堂 播放 万人次
",-1,-1_教学_教师_发展_课程,"['教学', '教师', '发展', '课程', '学院', '思政', '建设', '教育', '交大', '中心']","['相继 化学 学院 课程 思政 建设 规划 化学 学院 课程 思政 竞赛 办法 化学 学院 课程 思政 授课 规范 化学 学院 课程 思政 授课 培训 办法 文件\n', '教师 教学 发展 中心 守正 创新 回答 培养 教师 培养 教师 问题 踔厉奋发 高水平 一流 教师 教学 发展 学校 教育 教学改革 教师队伍 建设\n', '西安交大 教师 教学 发展 中心 以下 简称 中心 秉承 培育 大国 良师 提升 教学质量 初心 教师 教学 发展 规律 学校 实际 相结合 政治 引领 科学 体系 深入开展 理论 研究 努力 拓展 领域 发挥 国家级 示范 中心 示范 辐射 持续 探索 交大 特色 教师 教学 发展\n']",教学 - 教师 - 发展 - 课程 - 学院 - 思政 - 建设 - 教育 - 交大 - 中心,0.0,False
12,"专家 博士后 科技 服务团 企业 宁夏 宁东 能源 化工 基地 洛阳 实地 对接 企业 需求
",2,2_大赛_教学_中心_联盟,"['大赛', '教学', '中心', '联盟', '发展', '创新', '高校', '全国', '西安交通大学', '榆林']","['黄河流域 大学 联盟 西北地区 高等学校 教师 教学 发展 中心 联盟 宁夏大学 本科生 联合 策划 西安交大 教师 教学 发展 中心 承办\n', '上午 西北地区 高等学校 教师 教学 发展 中心 联盟 黄河流域 大学 联盟 西安交通大学 对口 支援 榆林 学院 新进 教师 能力 培养 训练营 交大 旨在 促进 联盟 内部 高校 优质 教学 教育 资源共享\n', '简介 西安交通大学 教师 教学 发展 中心 教育部 国家级 示范 中心 区域 领域 发挥 示范 引领 联合 相关 高校 发起 西北地区 高等学校 教师 教学 发展 中心 联盟 简称 西北 联盟 一流 区域 教育 共同体 一流 资源共享 共用\n']",大赛 - 教学 - 中心 - 联盟 - 发展 - 创新 - 高校 - 全国 - 西安交通大学 - 榆林,0.9897146682725451,False
13,"举办 新进 教工 入职 培训 新入 人员 校内 实践 新任 主管 能力 提升 培训
",-1,-1_教学_教师_发展_课程,"['教学', '教师', '发展', '课程', '学院', '思政', '建设', '教育', '交大', '中心']","['相继 化学 学院 课程 思政 建设 规划 化学 学院 课程 思政 竞赛 办法 化学 学院 课程 思政 授课 规范 化学 学院 课程 思政 授课 培训 办法 文件\n', '教师 教学 发展 中心 守正 创新 回答 培养 教师 培养 教师 问题 踔厉奋发 高水平 一流 教师 教学 发展 学校 教育 教学改革 教师队伍 建设\n', '西安交大 教师 教学 发展 中心 以下 简称 中心 秉承 培育 大国 良师 提升 教学质量 初心 教师 教学 发展 规律 学校 实际 相结合 政治 引领 科学 体系 深入开展 理论 研究 努力 拓展 领域 发挥 国家级 示范 中心 示范 辐射 持续 探索 交大 特色 教师 教学 发展\n']",教学 - 教师 - 发展 - 课程 - 学院 - 思政 - 建设 - 教育 - 交大 - 中心,0.0,False
14,"全国 高校 师德师风建设 经验交流 视频会议 发言
",5,5_师德师风建设_考核_师德师风_组织,"['师德师风建设', '考核', '师德师风', '组织', '单位', '监督', '会议', '建设', '政治', '负责']","['提高 教师队伍 整体素质 切实 师德 考核 贯穿 教师 日常 管理工作 学院 实际 化学 学院 师德师风 考核 方案 师德 考核 融入 人才 考核 晋升 岗位 聘任 评奖 评优 导师 遴选 人才 专项 考核 实行 一票否决制 切实 担负起 学院 师德师风建设 主体 责任\n', '长期以来 西安交通大学 党的领导 贯穿 师德师风建设 创新 学校 党委 二级 单位 党组织 教师 党支部 三级 联动 机制 系统 教育引导 考核 评价 监督 约束 激励 四位一体 建设 师德 建设 系统化\n', '教师队伍 师德师风 政治 考核 监督 指导 二级 单位 党组织 师德师风建设\n']",师德师风建设 - 考核 - 师德师风 - 组织 - 单位 - 监督 - 会议 - 建设 - 政治 - 负责,0.8756260503565638,False
15,"附院 普通外科 全国 工人 先锋号 南宁 施秉 获评 全国 先进 工作者 杨惠云 当选 最美 医生 库来 布拉 入选 最美 高校 辅导员 张正良 五四 青年 奖章
",0,0_党纪_学习_党员_师德师风建设,"['党纪', '学习', '党员', '师德师风建设', '教育', '政治', '党的纪律', '教师', '学院', '党支部']","['党纪 学习 教育 西安交通大学 认真 党中央 决策 部署 扎实 有序 党纪 学习 教育 提升 党员 个人修养 教师 师德师风 更高\n', '党纪 学习 师德师风 教育 交流 探讨 教师 党纪 理解 师德师风建设 重要性\n', '人工智能 学院 党纪 学习 师德师风 教育\n']",党纪 - 学习 - 党员 - 师德师风建设 - 教育 - 政治 - 党的纪律 - 教师 - 学院 - 党支部,0.7120592461454033,False
16,"施秉 荣获 三秦 楷模 荣誉称号 王世绍 施秉 当选 第六届 陕西省 道德 模范 附院 援鄂 医疗队 附院 感染 科获 陕西省 五一 巾帼 标兵 纽春萍 杨瑾 陕西省 五一 巾帼 标兵 西迁馆 获评 陕西省 学雷锋 示范点
",0,0_党纪_学习_党员_师德师风建设,"['党纪', '学习', '党员', '师德师风建设', '教育', '政治', '党的纪律', '教师', '学院', '党支部']","['党纪 学习 教育 西安交通大学 认真 党中央 决策 部署 扎实 有序 党纪 学习 教育 提升 党员 个人修养 教师 师德师风 更高\n', '党纪 学习 师德师风 教育 交流 探讨 教师 党纪 理解 师德师风建设 重要性\n', '人工智能 学院 党纪 学习 师德师风 教育\n']",党纪 - 学习 - 党员 - 师德师风建设 - 教育 - 政治 - 党的纪律 - 教师 - 学院 - 党支部,0.7120592461454033,False
17,"以塑 心育行 绘象 造境 为主 提升 校园文化 建设 交大 抓手 建设 带得 韵味 想象力 交大
",1,1_西迁_交大_传承_奋斗,"['西迁', '交大', '传承', '奋斗', '爱国', '情怀', '科研', '国家', '教授', '传统']","['首任 主任 知恩 专家 组成员 胡奈赛 朱继洲 卢烈 英均 西迁 教授 创立 伊始 传承 发扬 西迁 青年教师 引航 指路 己任 培育 爱国 爱校 敬业 爱生 教书育人 严谨 治学 服务 为人师表 大师 教学 培训 中长期 西迁 交大 教学 传统 学人 宣讲\n', '学校 建设 西迁 博物馆 西迁 研究 中心 举办 西迁 系列 研讨会 打造 西迁 教授 群雕 广泛 宣传 宣讲 推出 系列 原创 校园 话剧 举办 讲坛 教育引导 师生 胸怀大局 无私奉献 听得准 走得实 西迁 传人 个人 发展 服务 国家 紧密结合\n', '西安交大 师生 西迁 指引 不忘 初心 牢记 使命 传承 发扬 交大 传统 交大 新篇章\n']",西迁 - 交大 - 传承 - 奋斗 - 爱国 - 情怀 - 科研 - 国家 - 教授 - 传统,0.9078312448154056,False
18,"主办 第三届 大学 文化 高峰论坛 高等教育 学会 大学 文化 研究 分会 年会 当选 高等教育 学会 大学 文化 研究 分会 常务 副理事长 单位
",2,2_大赛_教学_中心_联盟,"['大赛', '教学', '中心', '联盟', '发展', '创新', '高校', '全国', '西安交通大学', '榆林']","['黄河流域 大学 联盟 西北地区 高等学校 教师 教学 发展 中心 联盟 宁夏大学 本科生 联合 策划 西安交大 教师 教学 发展 中心 承办\n', '上午 西北地区 高等学校 教师 教学 发展 中心 联盟 黄河流域 大学 联盟 西安交通大学 对口 支援 榆林 学院 新进 教师 能力 培养 训练营 交大 旨在 促进 联盟 内部 高校 优质 教学 教育 资源共享\n', '简介 西安交通大学 教师 教学 发展 中心 教育部 国家级 示范 中心 区域 领域 发挥 示范 引领 联合 相关 高校 发起 西北地区 高等学校 教师 教学 发展 中心 联盟 简称 西北 联盟 一流 区域 教育 共同体 一流 资源共享 共用\n']",大赛 - 教学 - 中心 - 联盟 - 发展 - 创新 - 高校 - 全国 - 西安交通大学 - 榆林,1.0,False
19,"创新 数字 展厅 人文 交流 厅影 随轩 投入 运营 创新 标识 系统 发布 创新 标志 大师 对话 系列 爱因斯坦 雕塑 契机 少数 专利 西迁 教授 群雕 一批 景观 雕塑 创新 落成 初步 构成 轴线 创业 之旅 文化 布局
",1,1_西迁_交大_传承_奋斗,"['西迁', '交大', '传承', '奋斗', '爱国', '情怀', '科研', '国家', '教授', '传统']","['首任 主任 知恩 专家 组成员 胡奈赛 朱继洲 卢烈 英均 西迁 教授 创立 伊始 传承 发扬 西迁 青年教师 引航 指路 己任 培育 爱国 爱校 敬业 爱生 教书育人 严谨 治学 服务 为人师表 大师 教学 培训 中长期 西迁 交大 教学 传统 学人 宣讲\n', '学校 建设 西迁 博物馆 西迁 研究 中心 举办 西迁 系列 研讨会 打造 西迁 教授 群雕 广泛 宣传 宣讲 推出 系列 原创 校园 话剧 举办 讲坛 教育引导 师生 胸怀大局 无私奉献 听得准 走得实 西迁 传人 个人 发展 服务 国家 紧密结合\n', '西安交大 师生 西迁 指引 不忘 初心 牢记 使命 传承 发扬 交大 传统 交大 新篇章\n']",西迁 - 交大 - 传承 - 奋斗 - 爱国 - 情怀 - 科研 - 国家 - 教授 - 传统,1.0,False
20,"布局 文化 平台 立项 文化 建设项目 一院 一品 专栏 展示 学院 书院 风采 举办 专题 展览
",1,1_西迁_交大_传承_奋斗,"['西迁', '交大', '传承', '奋斗', '爱国', '情怀', '科研', '国家', '教授', '传统']","['首任 主任 知恩 专家 组成员 胡奈赛 朱继洲 卢烈 英均 西迁 教授 创立 伊始 传承 发扬 西迁 青年教师 引航 指路 己任 培育 爱国 爱校 敬业 爱生 教书育人 严谨 治学 服务 为人师表 大师 教学 培训 中长期 西迁 交大 教学 传统 学人 宣讲\n', '学校 建设 西迁 博物馆 西迁 研究 中心 举办 西迁 系列 研讨会 打造 西迁 教授 群雕 广泛 宣传 宣讲 推出 系列 原创 校园 话剧 举办 讲坛 教育引导 师生 胸怀大局 无私奉献 听得准 走得实 西迁 传人 个人 发展 服务 国家 紧密结合\n', '西安交大 师生 西迁 指引 不忘 初心 牢记 使命 传承 发扬 交大 传统 交大 新篇章\n']",西迁 - 交大 - 传承 - 奋斗 - 爱国 - 情怀 - 科研 - 国家 - 教授 - 传统,1.0,False
21,"校园 珍贵 历史 文化 遗存 管理 办法
",12,12_西安交通大学_教育部_文件_质量标准,"['西安交通大学', '教育部', '文件', '质量标准', '十项准则', '政治', '审议', '与会', '考察', '办法']","['与会 人员 集体 学习 教育部 压实 高校 师德师风建设 主体 责任 中共 教育部党组 印发 普通 高等学校 教师 党建 政治 质量标准 文件 重温 西安交通大学 党委 教师 委员会 规则\n', '会议 审议 西安交通大学 党委 教师 工作部 计划 西安交通大学 教师 政治 师德师风建设 三级 联动 责任制 办法 做好 西安交通大学 教师 党建 政治 质量标准 西安交通大学 教职员工 准入 查询 实施办法 文件\n', '会议 审议 西安交通大学 党委 教师 工作部 计划 西安交通大学 教师 政治 师德师风建设 三级 联动 责任制 办法 做好 西安交通大学 教师 党建 政治 质量标准 西安交通大学 教职员工 准入 查询 实施办法 文件\n']",西安交通大学 - 教育部 - 文件 - 质量标准 - 十项准则 - 政治 - 审议 - 与会 - 考察 - 办法,1.0,False
22,"持续 一百 育人 行动 本科生 覆盖率 超过 80%
",1,1_西迁_交大_传承_奋斗,"['西迁', '交大', '传承', '奋斗', '爱国', '情怀', '科研', '国家', '教授', '传统']","['首任 主任 知恩 专家 组成员 胡奈赛 朱继洲 卢烈 英均 西迁 教授 创立 伊始 传承 发扬 西迁 青年教师 引航 指路 己任 培育 爱国 爱校 敬业 爱生 教书育人 严谨 治学 服务 为人师表 大师 教学 培训 中长期 西迁 交大 教学 传统 学人 宣讲\n', '学校 建设 西迁 博物馆 西迁 研究 中心 举办 西迁 系列 研讨会 打造 西迁 教授 群雕 广泛 宣传 宣讲 推出 系列 原创 校园 话剧 举办 讲坛 教育引导 师生 胸怀大局 无私奉献 听得准 走得实 西迁 传人 个人 发展 服务 国家 紧密结合\n', '西安交大 师生 西迁 指引 不忘 初心 牢记 使命 传承 发扬 交大 传统 交大 新篇章\n']",西迁 - 交大 - 传承 - 奋斗 - 爱国 - 情怀 - 科研 - 国家 - 教授 - 传统,1.0,False
23,"发布 一百 育人 行动 VI 设计 系列 校园文化 餐券 毕业 礼物 校徽 印章 组织 书院 拍摄 宣传片 研究院 推出 英文 宣传片
",1,1_西迁_交大_传承_奋斗,"['西迁', '交大', '传承', '奋斗', '爱国', '情怀', '科研', '国家', '教授', '传统']","['首任 主任 知恩 专家 组成员 胡奈赛 朱继洲 卢烈 英均 西迁 教授 创立 伊始 传承 发扬 西迁 青年教师 引航 指路 己任 培育 爱国 爱校 敬业 爱生 教书育人 严谨 治学 服务 为人师表 大师 教学 培训 中长期 西迁 交大 教学 传统 学人 宣讲\n', '学校 建设 西迁 博物馆 西迁 研究 中心 举办 西迁 系列 研讨会 打造 西迁 教授 群雕 广泛 宣传 宣讲 推出 系列 原创 校园 话剧 举办 讲坛 教育引导 师生 胸怀大局 无私奉献 听得准 走得实 西迁 传人 个人 发展 服务 国家 紧密结合\n', '西安交大 师生 西迁 指引 不忘 初心 牢记 使命 传承 发扬 交大 传统 交大 新篇章\n']",西迁 - 交大 - 传承 - 奋斗 - 爱国 - 情怀 - 科研 - 国家 - 教授 - 传统,1.0,False
24,"打造 金色 梧桐 文化 名片 部门 联动 师生 铺就 诗意 梧桐 引发 热烈 关注
",2,2_大赛_教学_中心_联盟,"['大赛', '教学', '中心', '联盟', '发展', '创新', '高校', '全国', '西安交通大学', '榆林']","['黄河流域 大学 联盟 西北地区 高等学校 教师 教学 发展 中心 联盟 宁夏大学 本科生 联合 策划 西安交大 教师 教学 发展 中心 承办\n', '上午 西北地区 高等学校 教师 教学 发展 中心 联盟 黄河流域 大学 联盟 西安交通大学 对口 支援 榆林 学院 新进 教师 能力 培养 训练营 交大 旨在 促进 联盟 内部 高校 优质 教学 教育 资源共享\n', '简介 西安交通大学 教师 教学 发展 中心 教育部 国家级 示范 中心 区域 领域 发挥 示范 引领 联合 相关 高校 发起 西北地区 高等学校 教师 教学 发展 中心 联盟 简称 西北 联盟 一流 区域 教育 共同体 一流 资源共享 共用\n']",大赛 - 教学 - 中心 - 联盟 - 发展 - 创新 - 高校 - 全国 - 西安交通大学 - 榆林,0.7207789292961646,False
25,"获批 陕西省 少数民族 传统 体育 研究 训练 基地 启动 传统 体育 书院
",2,2_大赛_教学_中心_联盟,"['大赛', '教学', '中心', '联盟', '发展', '创新', '高校', '全国', '西安交通大学', '榆林']","['黄河流域 大学 联盟 西北地区 高等学校 教师 教学 发展 中心 联盟 宁夏大学 本科生 联合 策划 西安交大 教师 教学 发展 中心 承办\n', '上午 西北地区 高等学校 教师 教学 发展 中心 联盟 黄河流域 大学 联盟 西安交通大学 对口 支援 榆林 学院 新进 教师 能力 培养 训练营 交大 旨在 促进 联盟 内部 高校 优质 教学 教育 资源共享\n', '简介 西安交通大学 教师 教学 发展 中心 教育部 国家级 示范 中心 区域 领域 发挥 示范 引领 联合 相关 高校 发起 西北地区 高等学校 教师 教学 发展 中心 联盟 简称 西北 联盟 一流 区域 教育 共同体 一流 资源共享 共用\n']",大赛 - 教学 - 中心 - 联盟 - 发展 - 创新 - 高校 - 全国 - 西安交通大学 - 榆林,0.9307868067303252,False
26,"下午 学校 组织 师德师风 日常 管理 联席会议 部署 师德师风建设
",5,5_师德师风建设_考核_师德师风_组织,"['师德师风建设', '考核', '师德师风', '组织', '单位', '监督', '会议', '建设', '政治', '负责']","['提高 教师队伍 整体素质 切实 师德 考核 贯穿 教师 日常 管理工作 学院 实际 化学 学院 师德师风 考核 方案 师德 考核 融入 人才 考核 晋升 岗位 聘任 评奖 评优 导师 遴选 人才 专项 考核 实行 一票否决制 切实 担负起 学院 师德师风建设 主体 责任\n', '长期以来 西安交通大学 党的领导 贯穿 师德师风建设 创新 学校 党委 二级 单位 党组织 教师 党支部 三级 联动 机制 系统 教育引导 考核 评价 监督 约束 激励 四位一体 建设 师德 建设 系统化\n', '教师队伍 师德师风 政治 考核 监督 指导 二级 单位 党组织 师德师风建设\n']",师德师风建设 - 考核 - 师德师风 - 组织 - 单位 - 监督 - 会议 - 建设 - 政治 - 负责,1.0,False
27,"学校 教师 工作部 纪委 监察处 党委 组织部 党委 宣传部 党委 统战部 职能部门 负责人 会议
",3,3_部长_党委_主持会议_负责人,"['部长', '党委', '主持会议', '负责人', '会议', '工作部', '教师', '项目', '学院', '宣传部']","['校党委 书记 孙早 成员 单位 负责人 会议 教师 工作部 部长 主持会议\n', '校党委 书记 孙早 教师 委员会 成员 单位 负责人 会议 教师 工作部 部长 主持会议\n', '校党委 书记 孙早 党委 教师 委员会 成员 单位 负责人 会议 党委 教师 工作部 部长\n']",部长 - 党委 - 主持会议 - 负责人 - 会议 - 工作部 - 教师 - 项目 - 学院 - 宣传部,1.0,False
28,"副校长 荣命哲 主持会议
",3,3_部长_党委_主持会议_负责人,"['部长', '党委', '主持会议', '负责人', '会议', '工作部', '教师', '项目', '学院', '宣传部']","['校党委 书记 孙早 成员 单位 负责人 会议 教师 工作部 部长 主持会议\n', '校党委 书记 孙早 教师 委员会 成员 单位 负责人 会议 教师 工作部 部长 主持会议\n', '校党委 书记 孙早 党委 教师 委员会 成员 单位 负责人 会议 党委 教师 工作部 部长\n']",部长 - 党委 - 主持会议 - 负责人 - 会议 - 工作部 - 教师 - 项目 - 学院 - 宣传部,1.0,False
